date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
1999-04-20,7.5703,,,,,
1999-04-21,7.7822,,,,,
1999-04-22,7.9171,,,,,
1999-04-23,8.5335,,,,,
1999-04-26,8.5913,,,,,
1999-04-27,8.3023,,,,,
1999-04-28,7.9363,,,,,
1999-04-29,7.397,,,,,
1999-04-30,7.397,,,,,
1999-05-03,7.3585,,,,,
1999-05-04,7.5703,,,,,
1999-05-05,7.9363,,,,,
1999-05-06,7.6281,,,,,
1999-05-07,7.1466,,,,,
1999-05-10,6.9925,,,,,
1999-05-11,6.7806,,,,,
1999-05-12,6.9347,,,,,
1999-05-13,7.1851,,,,,
1999-05-14,7.2814,,,,,
1999-05-17,7.0695,,,,,
1999-05-18,7.397,,,,,
1999-05-19,7.2429,,,,,
1999-05-20,7.3777,,,,,
1999-05-21,7.4162,,,,,
1999-05-24,7.474,,,,,
1999-05-25,7.397,,,,,
1999-05-26,7.5511,,,,,
1999-05-27,8.1097,,,,,
1999-05-28,8.0712,,,,,
1999-06-01,8.0327,,,,,
1999-06-02,8.3987,,,,,
1999-06-03,8.7454,,,,,
1999-06-04,8.9187,,,,,
1999-06-07,9.5737,,,,,
1999-06-08,9.6893,,,,,
1999-06-09,10.3057,,,,,
1999-06-10,9.9204,,,,,
1999-06-11,9.6315,,,,,
1999-06-14,9.8434,,,,,
1999-06-15,10.0938,,,,,
1999-06-16,10.5176,,,,,
1999-06-17,10.5946,,,,,
1999-06-18,10.6332,,,,,
1999-06-21,10.6717,,,,,
1999-06-22,10.3827,,,,,
1999-06-23,10.2094,,,,,
1999-06-24,10.5946,,,,,
1999-06-25,10.0938,,,,,
1999-06-28,10.0938,,,,,
1999-06-29,10.6332,,,,,
1999-06-30,10.479,,,,,
1999-07-01,10.6717,,,,,
1999-07-02,10.5561,,,,,
1999-07-06,10.4405,,,,,
1999-07-07,10.0938,,,,,
1999-07-08,9.9204,,,,,
1999-07-09,9.9397,,,,,
1999-07-12,9.6893,,,,,
1999-07-13,9.2847,,,,,
1999-07-14,9.8434,,,,,
1999-07-15,10.036,,,,,
1999-07-16,9.7856,,,,,
1999-07-19,9.7856,,,,,
1999-07-20,9.6893,,,,,
1999-07-21,9.9397,,,,,
1999-07-22,9.3425,,,,,
1999-07-23,9.304,,,,,
1999-07-26,9.3425,,,,,
1999-07-27,9.5737,,,,,
1999-07-28,9.8434,,,,,
1999-07-29,9.2655,,,,,
1999-07-30,9.5737,,,,,
1999-08-02,9.3618,,,,,
1999-08-03,9.0536,,,,,
1999-08-04,8.6298,,,,,
1999-08-05,8.6105,,,,,
